dataset_key,dataset_name,model_order,model_display_name,algorithm,window_size,n_features,train_windows,test_windows,timing_repetitions,platform_status,base_status,platform_error_message,base_error_message,average_platform_time_s,average_base_time_s,overhead_s,speedup_base_over_platform,platform_threshold,base_threshold,accuracy,precision,recall,f1,platform_roc_auc_scores,base_roc_auc_scores,roc_auc_diff,platform_pr_auc_scores,base_pr_auc_scores,pr_auc_diff
metro_interstate,metro_interstate_traffic_volume,7,KimTaeYoung,kimtaeyoung,24,4,38540,9618,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,8,FuJiangmeng,fujiangmeng,24,4,38540,9618,3,ok,ok,,,34.6646,29.3029,5.3617,0.8453,0.428255,0.428403,0.2514,0.0,0.0,0.0,0.5441,0.5425,0.0016,0.7766,0.7753,0.0013
metro_interstate,metro_interstate_traffic_volume,9,ShiHaotian,shihaotian,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (13). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (13). Kernel size can't be greater than actual input size,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,10,SharPar,sharpar,24,4,38540,9618,3,ok,ok,,,25.1352,23.2529,1.8823,0.9251,0.424375,0.424484,0.2514,0.0,0.0,0.0,0.5443,0.5445,-0.0002,0.7769,0.7768,0.0001
metro_interstate,metro_interstate_traffic_volume,11,HongTan,hongtan,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,12,HtetMyetLynn,htetmyetlynn,24,4,38540,9618,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,13,LihOhShu,liohshu,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (20). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (20). Kernel size can't be greater than actual input size,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,14,YiboGao,yibogao,24,4,38540,9618,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,15,YaoQihang,yaoqihang,24,4,38540,9618,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,16,YildirimOzal,yildirimozal,24,4,38540,9618,3,failed,failed,YildirimOzal_Forecaster.__init__() missing 1 required positional argument: 'in_features',YildirimOzal_Forecaster.__init__() missing 1 required positional argument: 'in_features',,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,17,ZhangJin,zhangjin,24,4,38540,9618,3,failed,failed,ZhangJin_Forecaster.__init__() missing 1 required positional argument: 'in_features',ZhangJin_Forecaster.__init__() missing 1 required positional argument: 'in_features',,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,18,WeiXiaoyan,weixiaoyan,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,19,KhanZulfiqar,khanzulfiqar,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (20). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (20). Kernel size can't be greater than actual input size,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,20,ChenChen,chenchen,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,21,GenMinxing,genminxing,24,4,38540,9618,3,failed,failed,"input.size(-1) must be equal to input_size. Expected 24, got 4","input.size(-1) must be equal to input_size. Expected 24, got 4",,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,22,HuangMeiLing,huangmeiling,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (6). Kernel size: (15). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (6). Kernel size: (15). Kernel size can't be greater than actual input size,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,23,DaiXiLi,daixili,24,4,38540,9618,3,failed,failed,mat1 and mat2 shapes cannot be multiplied (1024x1 and 250x16),mat1 and mat2 shapes cannot be multiplied (1024x1 and 250x16),,,,,,,,,,,,,,,,
